100,0,0,0,0,0,0
325,0,0,0,0,0,0
550,0,1,0,0,0,0
775,0,0,0,0,0,0
1000,0,1,0,0,0,0
3250,0,8,0,1,0,0
5500,0,23,0,0,1,0
7750,0,47,2,0,1,1
10000,1,77,2,1,1,2
32500,7,783,6,3,7,3
55000,12,2232,11,5,11,7
77500,18,4487,16,7,17,10
100000,22,7441,20,10,22,13
325000,77,78311,70,34,75,42
550000,132,222433,122,54,127,72
775000,194,444650,180,90,187,107
1000000,246,735693,223,89,231,120
